Date,AAPL,ABBV,AEP,AMT,AMZN,APD,BA,BAC,BRK-B,CAT,CMCSA,COP,COST,CVX,D,DIS,DUK,EOG,FCX,GE,GOOGL,GS,HD,HON,JNJ,JPM,KO,LIN,MCD,META,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,PEP,PFE,PG,PLD,SLB,SO,T,TSLA,UNH,UPS,VZ,WMT,XOM
2018-09-01,0.64,0.5,0.62,0.26,0.34,0.2,0.02,0.92,0.06,0.22,0.9,0.54,0.08,0.42,0.7,0.3,0.58,0.36,0.98,0.68,0.56,0.1,0.12,0.24,0.28,0.38,0.78,0.16,0.18,0.14,0.66,0.76,0.32,0.82,0.74,0.46,1.0,0.4,0.86,0.48,0.6,0.72,0.84,0.96,0.94,0.04,0.44,0.8,0.88,0.52
2018-10-01,0.66,0.56,0.54,0.22,0.4,0.2,0.02,0.92,0.08,0.3,0.88,0.6,0.06,0.38,0.68,0.28,0.5,0.44,0.98,0.7,0.62,0.1,0.18,0.24,0.26,0.36,0.74,0.16,0.14,0.12,0.58,0.78,0.32,0.8,0.84,0.48,1.0,0.34,0.9,0.46,0.64,0.72,0.82,0.96,0.94,0.04,0.42,0.76,0.86,0.52
2018-11-01,0.68,0.48,0.56,0.2,0.42,0.22,0.02,0.92,0.06,0.28,0.86,0.66,0.08,0.38,0.64,0.3,0.52,0.46,0.98,0.82,0.6,0.1,0.14,0.26,0.24,0.36,0.7,0.16,0.12,0.18,0.54,0.78,0.32,0.74,0.9,0.5,1.0,0.34,0.84,0.44,0.62,0.76,0.8,0.96,0.94,0.04,0.4,0.72,0.88,0.58
2018-12-01,0.7,0.48,0.54,0.22,0.42,0.18,0.02,0.94,0.06,0.24,0.9,0.64,0.08,0.38,0.6,0.3,0.5,0.52,0.98,0.76,0.58,0.14,0.12,0.26,0.28,0.36,0.68,0.16,0.1,0.2,0.56,0.8,0.32,0.74,0.88,0.46,1.0,0.34,0.82,0.4,0.66,0.84,0.78,0.96,0.92,0.04,0.44,0.72,0.86,0.62
2019-01-01,0.7,0.54,0.52,0.2,0.36,0.22,0.02,0.92,0.06,0.26,0.9,0.62,0.08,0.4,0.66,0.3,0.5,0.48,0.98,0.68,0.6,0.1,0.14,0.24,0.28,0.38,0.72,0.18,0.16,0.12,0.56,0.84,0.32,0.74,0.82,0.46,1.0,0.34,0.86,0.42,0.58,0.8,0.76,0.96,0.94,0.04,0.44,0.78,0.88,0.64
2019-02-01,0.7,0.56,0.52,0.22,0.44,0.2,0.02,0.92,0.06,0.26,0.86,0.66,0.08,0.36,0.64,0.3,0.5,0.48,0.98,0.68,0.62,0.1,0.18,0.24,0.28,0.38,0.78,0.14,0.16,0.12,0.54,0.84,0.32,0.72,0.82,0.46,1.0,0.34,0.9,0.42,0.58,0.8,0.76,0.96,0.94,0.04,0.4,0.74,0.88,0.6
2019-03-01,0.7,0.56,0.52,0.14,0.38,0.18,0.02,0.92,0.08,0.26,0.86,0.66,0.04,0.36,0.64,0.32,0.5,0.48,0.98,0.68,0.62,0.12,0.2,0.24,0.28,0.44,0.78,0.22,0.16,0.1,0.54,0.84,0.3,0.72,0.82,0.46,1.0,0.34,0.9,0.4,0.58,0.8,0.76,0.96,0.94,0.06,0.42,0.74,0.88,0.6
2019-04-01,0.7,0.6,0.52,0.22,0.36,0.14,0.02,0.92,0.06,0.3,0.86,0.66,0.04,0.42,0.64,0.26,0.5,0.48,0.98,0.68,0.58,0.12,0.16,0.24,0.32,0.38,0.76,0.2,0.18,0.1,0.56,0.78,0.28,0.72,0.82,0.46,1.0,0.34,0.9,0.4,0.54,0.84,0.74,0.96,0.94,0.08,0.44,0.8,0.88,0.62
2019-05-01,0.7,0.58,0.48,0.12,0.36,0.14,0.02,0.92,0.08,0.32,0.84,0.66,0.04,0.42,0.6,0.26,0.5,0.52,0.98,0.68,0.62,0.22,0.2,0.24,0.3,0.38,0.76,0.18,0.16,0.1,0.54,0.82,0.28,0.72,0.8,0.46,1.0,0.34,0.9,0.4,0.56,0.88,0.74,0.94,0.96,0.06,0.44,0.78,0.86,0.64
2019-06-01,0.7,0.62,0.48,0.22,0.36,0.1,0.02,0.92,0.08,0.3,0.88,0.68,0.04,0.42,0.58,0.26,0.52,0.5,0.98,0.66,0.64,0.2,0.18,0.24,0.32,0.4,0.76,0.14,0.16,0.12,0.56,0.82,0.28,0.72,0.8,0.46,1.0,0.34,0.9,0.38,0.54,0.86,0.74,0.94,0.96,0.06,0.44,0.78,0.84,0.6
2019-07-01,0.64,0.68,0.48,0.2,0.4,0.1,0.02,0.92,0.08,0.3,0.86,0.7,0.04,0.42,0.6,0.26,0.52,0.56,0.98,0.66,0.58,0.14,0.16,0.24,0.32,0.38,0.76,0.22,0.18,0.12,0.54,0.8,0.28,0.72,0.88,0.46,1.0,0.34,0.9,0.36,0.5,0.82,0.74,0.96,0.94,0.06,0.44,0.78,0.84,0.62
2019-08-01,0.64,0.66,0.48,0.14,0.42,0.12,0.02,0.92,0.08,0.34,0.82,0.74,0.04,0.44,0.58,0.26,0.5,0.6,0.98,0.76,0.56,0.2,0.1,0.24,0.32,0.38,0.72,0.22,0.16,0.18,0.54,0.84,0.28,0.68,0.86,0.46,1.0,0.3,0.9,0.36,0.52,0.88,0.7,0.94,0.96,0.06,0.4,0.78,0.8,0.62
2019-09-01,0.64,0.6,0.48,0.16,0.44,0.12,0.02,0.92,0.06,0.32,0.82,0.72,0.04,0.42,0.58,0.28,0.5,0.62,0.98,0.76,0.56,0.18,0.08,0.24,0.34,0.38,0.74,0.22,0.14,0.2,0.54,0.84,0.26,0.68,0.88,0.46,1.0,0.3,0.9,0.36,0.52,0.86,0.7,0.94,0.96,0.1,0.4,0.78,0.8,0.66
2019-10-01,0.62,0.6,0.48,0.18,0.4,0.16,0.02,0.92,0.08,0.3,0.84,0.76,0.04,0.44,0.58,0.28,0.52,0.64,0.98,0.72,0.56,0.14,0.1,0.24,0.34,0.38,0.74,0.2,0.22,0.12,0.54,0.8,0.26,0.66,0.86,0.46,1.0,0.32,0.9,0.36,0.5,0.88,0.7,0.96,0.94,0.06,0.42,0.78,0.82,0.68
2019-11-01,0.6,0.56,0.5,0.2,0.42,0.1,0.02,0.9,0.08,0.3,0.84,0.74,0.04,0.44,0.62,0.24,0.52,0.66,0.98,0.64,0.58,0.14,0.16,0.26,0.32,0.36,0.76,0.18,0.22,0.12,0.54,0.8,0.28,0.7,0.86,0.46,1.0,0.34,0.92,0.38,0.48,0.88,0.72,0.96,0.94,0.06,0.4,0.78,0.82,0.68
2019-12-01,0.54,0.58,0.48,0.18,0.42,0.12,0.02,0.9,0.08,0.3,0.84,0.72,0.04,0.44,0.64,0.28,0.52,0.62,0.98,0.66,0.6,0.14,0.2,0.26,0.32,0.34,0.76,0.16,0.22,0.1,0.56,0.8,0.24,0.7,0.88,0.4,1.0,0.36,0.94,0.38,0.5,0.86,0.74,0.96,0.92,0.06,0.46,0.78,0.82,0.68
2020-01-01,0.54,0.62,0.44,0.18,0.4,0.1,0.02,0.92,0.08,0.34,0.88,0.74,0.04,0.46,0.6,0.28,0.52,0.7,0.98,0.64,0.56,0.12,0.16,0.26,0.3,0.36,0.72,0.2,0.22,0.14,0.58,0.8,0.24,0.66,0.86,0.42,1.0,0.32,0.94,0.38,0.5,0.9,0.68,0.96,0.78,0.06,0.48,0.82,0.84,0.76
2020-02-01,0.58,0.54,0.46,0.12,0.4,0.14,0.02,0.9,0.08,0.32,0.88,0.78,0.04,0.5,0.62,0.28,0.44,0.68,0.98,0.66,0.56,0.2,0.16,0.26,0.3,0.36,0.74,0.18,0.22,0.1,0.6,0.82,0.24,0.64,0.84,0.42,1.0,0.34,0.92,0.38,0.48,0.94,0.7,0.96,0.72,0.06,0.52,0.8,0.86,0.76
2020-03-01,0.52,0.56,0.48,0.08,0.34,0.1,0.2,0.92,0.06,0.3,0.86,0.88,0.02,0.62,0.6,0.38,0.5,0.84,1.0,0.68,0.58,0.24,0.14,0.26,0.28,0.4,0.74,0.16,0.22,0.12,0.54,0.82,0.18,0.64,0.7,0.42,0.98,0.32,0.9,0.36,0.46,0.96,0.66,0.94,0.76,0.04,0.44,0.72,0.78,0.8
2020-04-01,0.48,0.58,0.52,0.08,0.28,0.1,0.24,0.92,0.14,0.36,0.88,0.82,0.02,0.5,0.62,0.34,0.56,0.78,0.98,0.84,0.54,0.22,0.12,0.3,0.26,0.4,0.74,0.18,0.2,0.06,0.6,0.86,0.16,0.66,0.7,0.42,1.0,0.32,0.9,0.38,0.44,0.96,0.68,0.94,0.64,0.04,0.46,0.72,0.76,0.8
2020-05-01,0.48,0.5,0.56,0.08,0.28,0.12,0.24,0.92,0.16,0.36,0.88,0.84,0.02,0.54,0.6,0.32,0.58,0.76,1.0,0.86,0.52,0.2,0.1,0.3,0.26,0.42,0.74,0.14,0.22,0.06,0.62,0.8,0.18,0.66,0.7,0.4,0.98,0.34,0.9,0.38,0.46,0.94,0.68,0.96,0.64,0.04,0.44,0.72,0.78,0.82
2020-06-01,0.42,0.5,0.58,0.08,0.26,0.12,0.18,0.92,0.2,0.32,0.88,0.84,0.02,0.56,0.62,0.36,0.6,0.76,0.98,0.86,0.54,0.22,0.1,0.28,0.3,0.46,0.78,0.14,0.24,0.06,0.64,0.72,0.16,0.66,0.68,0.4,1.0,0.34,0.9,0.38,0.48,0.94,0.7,0.96,0.52,0.04,0.44,0.74,0.8,0.82
2020-07-01,0.42,0.52,0.56,0.14,0.24,0.08,0.26,0.92,0.16,0.32,0.82,0.86,0.02,0.6,0.64,0.36,0.58,0.8,0.98,0.88,0.54,0.2,0.1,0.28,0.3,0.5,0.78,0.12,0.22,0.06,0.62,0.72,0.18,0.66,0.68,0.46,1.0,0.34,0.9,0.38,0.48,0.94,0.7,0.96,0.44,0.04,0.4,0.74,0.76,0.84
2020-08-01,0.4,0.54,0.62,0.18,0.24,0.08,0.26,0.92,0.14,0.38,0.8,0.86,0.02,0.58,0.64,0.36,0.6,0.82,0.98,0.88,0.52,0.22,0.1,0.3,0.32,0.5,0.78,0.12,0.2,0.04,0.56,0.7,0.16,0.66,0.68,0.46,1.0,0.44,0.9,0.42,0.48,0.94,0.76,0.96,0.28,0.06,0.34,0.74,0.72,0.84
2020-09-01,0.46,0.56,0.58,0.16,0.26,0.08,0.24,0.92,0.14,0.32,0.8,0.88,0.02,0.66,0.62,0.38,0.54,0.84,0.96,0.82,0.52,0.22,0.1,0.3,0.36,0.5,0.76,0.12,0.2,0.06,0.6,0.78,0.18,0.64,0.68,0.44,1.0,0.42,0.9,0.4,0.48,0.98,0.7,0.94,0.28,0.04,0.34,0.74,0.72,0.86
